id,name,icon_sprite,weapon_type,weapon_subtype,weapon_id,slot,damage,ammo_clip_size,fire_interval,multi_fire_interval,fire_type,single_shot_revise,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,damage_increase,damage_increase_firemax,scatter_num,scatter_speed,scatter_speed_crouch_creep,scatter_move,scatter_max,scatter_recover_speed,shrink_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,auto_reload_speed,sight_on_sfx_maxonly,sight_off_sfx_maxonly,sight_icon,sight_ui,sight_ui_center,sight_ui_center_heal,sight_amplify_ratio,sight_fov_amplify_ratio,sight_ui_action_ratio,sight_ui_action_expand,sight_ui_action_recovery,sight_shoot_mindmg_numx,sight_move_num,sight_aim_assist,sight_aim_assist_snap_range,sight_aim_assist_dist_falloff,sight_aim_assist_distpriority,sight_aim_assist_distprio_min,sight_aim_assist_distprio_max,sight_aim_assist_distprio_coef,sight_rot_sensitiveness,sight_aim_assist_post_snap_range_coef,silencer,has_thermal_view,buff_id,sight_switch_time_scale,attachment_param1,des1,attachment_param2,des2,attachment_param3,des3,attachment_param4,des4,attachment_level,boost_damage,boost_damage_interval,extra_damage_rate
部件id,名字,图标,适用武器,适用武器子类型,,可挂载slot,基本伤害,弹匣数量修正(百分比),发射间隔,多连发 发射间隔,开火类型(自动0、单发、双发、三发),单发连发（不修正-1，更改为False 0，true 1）（false是连发）,护甲穿透(保留),射程,满伤害距离,最小伤害开始距离,最小伤害,连续射击递增伤害,连续射击递增伤害最大射击次数,开始散射阈值(连射子弹数目),扩散增加速度(0.1 = 每多一次连发准星扩大10%),蹲下、趴下减少散射,移动情况下扩散大小(1.5 = 1.5 * 基本准星大小),最大扩散阈值(2 = 2 * 基本准星大小),扩散恢复速度,收敛速度,玩家移动速度影响(0.9 = 基础移速90%),射击时的玩家速度影响,一次发射子弹数量，霰弹枪专有,换弹夹速度(基础速度 * 该系数),自动换弹速度(基础速度 * 该系数),开镜音效maxonly,关镜音效maxonly,瞄准镜icon,瞄准镜ui,瞄准镜中心ui,治疗枪瞄准镜中心ui,瞄准镜名义放大倍率,FOV放大倍率,瞄镜射击UI放大倍率,瞄镜UI射击放大时间(s),瞄镜UI射击恢复时间(s),瞄镜最小伤害距离修正系数X,瞄镜移动速度修正系数,允许开镜时辅助瞄准,辅助瞄准准星屏幕范围吸引比率(0-1),辅助瞄准距离衰减影响系数(>=0),允许辅助瞄准距离优先,辅助瞄准距离优先最小距离,辅助瞄准距离优先最大距离,辅助瞄准距离优先影响系数(>=1),瞄镜旋转敏感度系数,开镜后瞄镜持续吸附范围系数,消音器效果,热成像效果,持续伤害（流血）类型,开镜速度修正倍率,配件特殊参数1,参数1说明,配件特殊参数2,参数2说明,配件特殊参数3,参数3说明,配件特殊参数4,参数4说明,配件等级比较参数（9是不参比较，8是黄金配件，装备后符号为金色，除此之外数字越大越好，),额外伤害,额外伤害触发的射击次数（填2就是2，4，6触发),额外伤害比例(车、油桶 冰墙)
501,Muzzle1,UI_icon_gun_part_1,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,0,0,100,1,1,-1,-1,0,1,1,2,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,1,,,
502,Muzzle2,UI_icon_gun_part_1,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,0,0,100,1,1,-1,-1,0,3,3,3,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,2,,,
503,Muzzle3,UI_icon_gun_part_1,0;1;2;4;6,0;1;2;3:0;1:0;1;2:0:0;1,,0,0,100,1,1,-1,-1,0,5,5,5,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,3,,,
504,Silencer,UI_icon_gun_silencer_1,0;1;2;6,0;1;2;3:0;1:0;1;2:0;1,,0,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,1,,,,,,,,,9,,,
505,AttackMuzzle,UI_icon_gun_part_Attackmuzzle,6,0,,0,0,100,1,1,-1,-1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,9,0.2,3,
506,WideMuzzle,UI_icon_gun_part_Widemuzzle,4,0,,0,0,100,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,9,,,
511,Magezine1,UI_icon_gun_part_3,0;1;2;4;6;7;12,0;1;2;3:0;1:0;1;2:0:0;1:0;1:1,,1,0,120,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,1,,,
512,Magezine2,UI_icon_gun_part_3,0;1;2;4;6;7;12,0;1;2;3:0;1:0;1;2:0:0;1:0;1:1,,1,0,130,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,2,,,
513,Magezine3,UI_icon_gun_part_3,0;1;2;4;6;7;12,0;1;2;3:0;1:0;1;2:0:0;1:0;1:1,,1,0,140,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,1,,,,,,,,,3,,,
