id,name,sort,hud_icon,sound_fire,mute_sound_fire,sound_fire_middle_range,sound_fire_long_range,sound_fire_middle_range_low,sound_fire_long_range_low,mute_sound_fire_low,sound_clip_in,sound_clip_out,sound_change_weapon,type,subtype,subsubtype,combine_type,damage,ammo_clip_size,initial_clip_count,fire_interval,ammo_id,attachment_slot,fire_type,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,scatter_num,scatter_speed,scatter_move,scatter_max,scatter_recover_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,sight_equip,sight_default_equip,attachment_default_equip,sight_switch_music,sight_switch_time,sight_shoot_mindmg_numy,sight_ui_action_ratio,sight_ui_action_recovery,angle,delay,silencer,single_shot,repeat_fire_interval,damage_ratio_body,damage_ratio_head,damage_ratio_limb,knock_down_damage,armor_penetration_rate,buff_id,extra_damage_rate,fireShakeParam,canautoswitch,gunfireinterval,icewall_breakdown_rate,boost_damage,boost_damage_interval,sound_pull_bolt,bullet_effect,fire_effect,second_fire_effect,hd_anim_controller,hd_female_anim_controller,full_hd_anim_controller,full_hd_female_anim_controller,id_weaponskin,weapon_gold_type,ishealgun,ifautofire_enemy,pre_exchange_time,post_exchange_time,absolute_exchange_time,fire_vibrate,clip_vibrate,TagID,headshot_full_ratio_distance,headshot_min_ratio_distance,headshot_min_ratio
武器id,名字,PVE排序,hud图标索引,开火音效,消音器开火音效,开火音效(中距离),开火音效(长距离),开火音效(中距离)-低配,开火音效(长距离)-低配,消音器开火音效-低配,上弹夹,拔弹夹,切换武器,武器类型,武器子类型,武器子类型的子类型,武器子类型（双持，1和自己，2均可）,基本伤害,弹夹子弹数量,初始弹夹数量,发射间隔,子弹id,配件槽位(手枪仅能使用枪口及弹夹),开火类型(全自动连发，三连发等保留),护甲穿透(保留),射程,满伤害距离,最小伤害开始距离,最小伤害,开始散射阈值(连射子弹数目),扩散增加速度(0.1 = 每多一次连发准星扩大10%),移动情况下扩散大小(1.5 = 1.5 * 基本准星大小),最大扩散阈值(2 = 2 * 基本准星大小),扩散恢复速度(保留),玩家移动速度影响(0.9 = 基础移速90%),射击时的玩家速度影响,一次发射子弹数量，霰弹枪专有,换弹夹速度(基础速度 * 该系数),可装配瞄准镜,默认瞄准镜,默认配件,开关镜音效,开关镜过度时间(s),瞄镜最小伤害距离修正系数Y,瞄镜抖动幅度系数修正,瞄镜抖动恢复时间修正,角度,开火延迟,默认消音,,,（改为加减，比如填1.5，对身体伤害变为1加1.5）,（改为加减，比如填-1，对爆头伤害变为5.5减1）,（改为加减，比如填1.5，对四肢伤害变为0.75加1.5）,倒地额外伤害（加减伤害）,,,额外伤害比例(车、油桶 冰墙),xOffset#yOffset#skakeDurationOffset(shakeduration = fireinterval C shakedurationOffset)#OffsetRandBottomRatio,,枪火间隔,冰墙穿透系数,额外伤害,额外伤害触发的射击次数（填2就是2，4，6触发),拉栓,弹壳,枪火特效,枪火特效二,,,,,皮肤关联ID（填写即可以使用这个ID的皮肤）,是否是黄金枪类型,是否治疗枪机制,对敌人自瞄,切枪前置时间,切枪后置时间,绝对切枪时间（切到这把枪固定时间）,发射子弹震动,换弹夹震动,TagID，用分号;隔开,满爆头距离,最小爆头系数开始距离,最小爆头系数
1,fist,1,icon_HUD_fist,SOUND_FIST_PUNCH_1,SOUND_FIST_PUNCH_1,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_WEAPON_EMPTY,SOUND_FIST_PUNCH_1,SOUND_KNIFE_FIRE,SOUND_KNIFE_FIRE,SOUND_SWITCH_WEAPON,3,0,,,20,0,0,0.5,,,0,0,1.35,1.35,1.35,20,1,1,1,1,1,1.2,1,1,0,,,,SOUND_EQUIP,0.15,,,,55,0.18,,FALSE,,,,,,,,,,FALSE,0,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_FIST_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_FIST_FEMALE_FULL_HD,,,,,,0.2,0.35,,,,,,
2,M4A1,2,Icon_HUD_M4A1,SOUND_M4A1_FIRE,SOUND_M4A1_SILENCER,SOUND_M4A1_MIDDLERANGE,SOUND_M4A1_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_M4A1_CLIPIN,SOUND_M4A1_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,29,30,1,0.172,201,0;1;2;3;4,1,0,220,45,90,11,6,0.18,1.15,2,10,1,0.55,1,0.9,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,10,,,,,,FALSE,,,,,,,,,0.02#0.02#0.12#0.6,TRUE,5,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_SCAR_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_SCAR_FEMALE_FULL_HD,,,,,0.25,0.25,,102,402,77;30,,,
3,USP,3,Icon_HUD_USP,SOUND_USP_FIRE,SOUND_USP_SILENCER,SOUND_USP_MIDDLERANGE,SOUND_USP_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_USP_CLIPIN,SOUND_USP_CLIPOUT,SOUND_SWITCH_WEAPON_HAND,2,0,,,20,12,1,0.3,202,0;1,1,0,40,15,30,10,10,0.15,1.15,2,10,1.1,0.85,1,1.4,,,,SOUND_EQUIP,0.2,8,,,,,,FALSE,,,,,,,,,0.008#0.016#0.15#0.6,TRUE,2,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_USP45_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_USP45_FEMALE_FULL_HD,,,,,0.2,0.2,,103,403,30,,,
4,AWM,4,Icon_HUD_AWM,SOUND_AWM_FIRE,SOUND_AWM_SILENCER,SOUND_AWM_MIDDLERANGE,SOUND_AWM_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_AWM_CLIPIN,SOUND_AWM_CLIPOUT,SOUND_SWITCH_WEAPON_SNIPER,1,0,,,200,5,1,1.42,203,0;1;5,1,0.08,220,70,90,150,5,0,1,1,10,1,0.8,1,0.7,531;532;533;534;535;536;537,536,,SOUND_EQUIP,0.2,50,,,,,,FALSE,,0.5,,,,,,,0.01#0.1#0.92#0.6,TRUE,1,,,,SOUND_Weapon_AWM_Bolt,EFFECT_BULLET_AWM,,,INGAME_WEAPON_OVERRIDE_ANIM_SNIPER_AWM_HD,INGAME_WEAPON_OVERRIDE_ANIM_SNIPER_AWM_FEMALE_HD,INGAME_WEAPON_OVERRIDE_ANIM_AWM_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AWM_FEMALE_FULL_HD,,,,,0.5,0.25,,104,404,42;73;1,,,
5,M1014,5,Icon_HUD_M1014,SOUND_M1014_FIRE,SOUND_M1014_FIRE,SOUND_M1014_MIDDLERANGE,SOUND_M1014_MIDDLERANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_M1014_FIRE,SOUND_M1014_CLIPIN,SOUND_M1014_CLIPOUT,SOUND_SWITCH_WEAPON_SHOTGUN,4,0,,,26,6,1,0.38,204,4,1,0,14,5,10,13,0,1,1.5,4,10,1,0.45,6,0.5,,,,SOUND_EQUIP,0.2,,,,,,,FALSE,,,,,,,,,0.012#0.08#0.18#0.6,TRUE,1,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_M1014_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1014_FEMALE_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1014_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_M1014_FEMALE_FULL_HD,,,,,0.3,0.25,,105,405,74;27,8,13,-2
6,AK,6,Icon_HUD_AK,SOUND_AK47_FIRE,SOUND_AK_SILENCER,SOUND_AK_MIDDLERANGE,SOUND_AK_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_AK47_CLIPIN,SOUND_AK47_CLIPOUT,SOUND_SWITCH_WEAPON_RIFLE,0,0,,,38,30,1,0.185,201,0;1;2;3;4,1,0,220,38,85,14,2,0.3,1.2,2.4,10,1,0.55,1,0.8,531;532;533;534;535;536;537,532,,SOUND_EQUIP,0.2,18,,,,,,FALSE,,,,,,,,,0.025#0.025#0.1#0.6,TRUE,5,,,,,EFFECT_BULLET_AK,,,,,INGAME_WEAPON_OVERRIDE_ANIM_AK_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_AK_FEMALE_FULL_HD,,,,,0.25,0.25,,106,406,5;78,,,
7,UMP,7,Icon_HUD_UMP,SOUND_UMP_FIRE,SOUND_UMP_SILENCER,SOUND_UMPSG_MIDDLERANGE,SOUND_UMPSG_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_UMP_CLIPIN,SOUND_UMP_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,6,0,,,25,30,1,0.095,205,0;1;2;3,1,0.3,220,11,27,17,2,0.2,1,2.6,11,1.15,0.85,1,1.05,531;532;533;534;535;536;537,532,,SOUND_EQUIP_2,0.15,4,,,,,,FALSE,,,,,,,,,0.01#0.022#0.06#0.6,TRUE,7,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MP5_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MP5_FEMALE_FULL_HD,,,,,0.25,0.25,,107,407,31;8;2,12,20,-2
8,MP5,8,Icon_HUD_MP5,SOUND_MP5_FIRE,SOUND_MP5_SILENCER,SOUND_MP5_MIDDLERANGE,SOUND_MP5_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_MP5_CLIPIN,SOUND_MP5_CLIPOUT,SOUND_SWITCH_WEAPON_SUB,6,0,,,23,30,1,0.088,205,0;1;3;5,1,0,220,18,34,10,6,0.14,1.1,2.2,10,1,0.85,1,1.1,531;532;533;534;535;536;537,532,,SOUND_EQUIP_2,0.2,4,,,,,,FALSE,,,,,,,,,0.008#0.02#0.08#0.6,TRUE,6,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_MP5_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_MP5_FEMALE_FULL_HD,,,,,0.25,0.25,,108,408,9;30,12,20,-2
9,EAGLE,9,Icon_HUD_DE,SOUND_EAGLE_FIRE,SOUND_EAGLEL_SILENCER,SOUND_EAGLE_MIDDLERANGE,SOUND_EAGLE_LONGRANGE,SOUND_AR_MIDDLERANGE,SOUND_AR_LONGRANGE,SOUND_AR_SILENCER,SOUND_EAGLE_CLIPIN,SOUND_EAGLE_CLIPOUT,SOUND_SWITCH_WEAPON_HAND,2,0,,,90,7,1,0.55,202,0,1,0,220,46,75,68,3,0.19,1.2,2.5,10,1.1,0.85,1,1.2,,,,SOUND_EQUIP,0.2,8,,,,,,FALSE,,,,,,,,,0.01#0.04#0.24#0.6,TRUE,1,,,,,,,,,,INGAME_WEAPON_OVERRIDE_ANIM_USP45_MALE_FULL_HD,INGAME_WEAPON_OVERRIDE_ANIM_USP45_FEMALE_FULL_HD,,,,,0.2,0.2,,109,409,6;28;13,,,
