ID,Key,Value,Type,Loc,comment
序号,编号,值,类型(0HP 1EP 2SPEED 3JUMP 4RoundNum 5InitCoin 6fightclub RoundNum 7 revive),显示字符串,类型
1,1,200,0,200,房间自定义血量
2,2,500,0,500,
3,3,50,0,50,
4,4,1,0,1,
5,1,0,1,0,房间自定义EP
6,2,50,1,50,
7,3,200,1,200,
8,1,1,2,100%,房间自定义移动速度
9,2,0.5,2,50%,
10,3,1.25,2,125%,
11,4,2,2,200%,
12,1,1,3,100%,房间自定义跳跃高度
13,2,2,3,200%,
14,3,4,3,400%,
15,1,7,4,7,房间自定义CS回合数
16,2,13,4,13,
17,3,11,4,11,
18,4,5,4,5,
19,5,3,4,3,
20,1,500;900;1100;1700;2100;2400;3000,5,500,房间CS初始金币
21,2,1500;1700;1900;2100;2300;2500;2700,5,1500,
22,1,9,6,9,房间自定义FightClub回合数
23,2,11,6,11,
24,3,13,6,13,
25,1,1;1,7,T_17_A_ANTIADD_YES,
26,2,1;0,7,T_29_QX_ROOM_REVIVEPOINT,
27,3,0;1,7,T_29_QX_ROOM_REVIVECARD,
28,4,0;0,7,T_17_A_ANTIADD_NO,
