indexid,itemid,comment,filter,price,stack,limitation,bonus,BuyFilter,typeTab,selected,open
序列号,itemtable表中的道具id,备注,类型,售价,购买一次获得多少个,背包限制数量,武器击杀奖励,bot购买行为分类,武器分类(1.步枪 2.狙击枪 3.手枪 4.冲锋枪 5.喷子 6.近战 7.投掷物 8.其他武器 999.其他道具),是否选择,是否开放
1,51,镰刀,1,500,1,0,,0,8,false,true
2,25;202-90,M500+60子弹+枪口,1,400,1,0,,0,3,false,true
3,10;202-90,G18+60子弹+弹夹,1,500,1,0,,0,3,true,true
4,9;202-90,沙鹰+子弹+弹匣,1,800,1,0,,0,3,true,true
5,33;201-120,An94,1,1100,1,0,,1,1,true,true
6,24;201-120,Famas+120发子弹+枪口+弹夹+握把+枪托+2倍镜,1,1100,1,0,,1,1,true,true
7,30;201-200,M60+200发子弹+满配,1,1100,1,0,,1,4,false,true
8,2;201-120,M4+120发AR子弹+满配,1,1200,1,0,,1,1,true,true
9,32;205-150,P90+150发子弹,1,1300,1,0,,1,4,true,true
10,7;205-150,UMP+150发子弹,1,1400,1,0,,1,4,false,true
11,8;205-150,MP5+150发子弹,1,1400,1,0,,1,4,true,true
12,29;204-30,SPAS12+30子弹,1,1400,1,0,,1,5,true,true
13,49;205-150,Vector,1,1400,1,0,,1,4,true,true
14,43;205-150,Thompson+120发子弹+枪口+握把,1,1500,1,0,,1,4,true,true
15,5;204-30,M1014+30子弹,1,1600,1,0,,1,5,true,true
16,67;201-200,黄金FAMAS,1,1700,1,0,,1,4,false,true
17,62;205-120,黄金VSS,1,1700,1,0,,1,4,false,true
18,12;201-120,SCAR,1,1700,1,0,,1,4,false,true
19,54;201-120,Kord,1,1700,1,0,,1,4,false,true
20,47;201-120,ParaFal,1,1700,1,0,,1,4,false,true
21,28;201-120,XM8+120发子弹+满配,1,1700,1,0,,1,1,true,true
22,46;201-120,AUG+120发子弹+满配,1,1700,1,0,,1,1,true,true
23,18;201-48,SKS+120发子弹+满配,1,1700,1,0,,1,1,false,true
24,50;204-48,MAG7+48发子弹,1,1700,1,0,,1,5,true,true
25,6;201-120,AK+120发子弹,1,1800,1,0,,1,1,true,true
26,14;201-120,GROZA+120发子弹,1,1800,1,0,,1,1,false,true
27,63;201-120,黄金M14,1,1900,1,0,,1,5,false,true
28,41;204-30,M1887+48发子弹+枪托,1,1900,1,0,,1,5,true,true
29,48;201-120,Woodpecker+120发子弹+满配,1,1900,1,0,,1,1,true,true
30,19;201-200,M249+200发子弹,1,2000,1,0,,1,1,false,true
31,26;201-30,SVD+30发子弹,1,2000,1,0,,1,1,false,true
32,15;205-150,MP40+150发子弹,1,2000,1,0,,1,4,true,true
33,45;203-30,M82,1,2200,1,0,,1,4,true,true
34,65;203-30,AWM+60发子弹,1,2200,1,0,,1,2,true,true
35,98;205-120,CG15+120发子弹,1,2200,1,0,,1,8,false,true
36,23;207-10,M79+10发子弹,1,3000,1,0,,1,8,false,true
37,37;201-120,加特林+400发子弹,1,3000,1,0,,1,8,false,true
38,100,喷火器,1,3000,1,0,,1,8,false,true
39,537,热成像,1,1000,1,0,,1,8,false,true
40,302,2级甲,2,400,1,0,,2,999,true,true
41,303,3级甲,2,1000,1,0,,2,999,false,true
42,309,4级甲,2,1500,1,0,,2,999,false,true
43,305,2级头,2,200,1,0,,2,999,true,true
44,306,3级头,2,400,1,0,,2,999,false,true
45,310,4级头,2,800,1,0,,2,999,false,true
46,106,护甲修理箱,2,200,1,0,,2,999,true,true
47,108,强心针,2,1200,1,0,,2,999,false,true
48,601,手雷,4,200,1,2,,4,999,true,true
49,602,闪光弹,4,200,1,1,,4,999,true,true
50,603,烟雾弹,4,200,1,1,,4,999,true,true
51,1201,凝胶手雷,4,300,1,3,,4,3,true,true
52,607,反雷磁场,4,300,1,1,,4,3,false,true
53,1602,DOUBLEJUMPSHOE,4,200,1,1,,4,999,false,true
54,38,无限钩锁枪,4,200,1,1,,4,999,false,true
55,1202,T型砖墙,4,1000,1,1,,4,999,false,true
56,1401,地雷,4,1000,1,1,,4,999,false,true
57,1601,FLYSHOE,4,1000,1,1,,4,999,false,true
58,2401,DUMMY,4,300,1,1,,4,3,false,true
59,2102,炮塔,4,300,1,1,,4,3,false,true
60,1006,个人UAV,4,1000,1,1,,4,999,false,true
61,709,蘑菇,4,100,1,0,,4,999,true,true
