SkinID,name,region,desc,WeaponID,damage,ammo_clip_size,fire_interval,multi_fire_interval,bite_armor,range,full_damage_distance,min_damage_distance,min_damage,scatter_num,scatter_speed,scatter_move,scatter_max,scatter_recover_speed,player_speed_factor,player_speed_factor_while_firing,once_ammo,reload_speed,buff_id,damage_ratio_head,damage_ratio_body,damage_ratio_limb,sight_shoot_mindmg_numx
武器皮肤ID,武器名称,生效区,注释（属性强弱（1=强属性 2=弱属性）,武器id,基本伤害,弹夹数量修正,发射间隔,多连发 发射间隔,护甲穿透(保留),射程,满伤害距离,最小伤害开始距离,最小伤害,开始散射阈值(连射子弹数目),扩散增加速度(0.1=每多一次连发准星扩大10%),移动情况下扩散大小(1.5=1.5*基本准星大小),最大扩散阈值(2=2*基本准星大小),扩散恢复速度(保留),玩家移动速度影响(0.9=基础移速90%),射击时的玩家速度影响,一次发射子弹数量，霰弹枪专有,换弹夹速度(基础速度*该系数),武器技能id,对身体伤害,对头部伤害,对四肢伤害,开镜伤害
907100013,大黄蜂主题AK,DEFAULT,,6,2,,,,,,-1,-1,,,,,,,,,,,,,,,
907100016,M1873(OB9low),DEFAULT,,20,,,,,,,,,,,,,0.2,,,,,0.05,,,,,
907100017,GROZA(OB9low),DEFAULT,,14,1,,,,,,-1,,,,,,,,,,,,,,,,
907100018,SKS(OB9low),DEFAULT,,18,,2,,,,,,,,,,,0.2,,,,,,,,,,
907100019,M14(OB9low),DEFAULT,,11,1,-1,,,,,,,,,,,,,,,,,,,,,
907100020,MP5(OB9low),DEFAULT,,8,,-5,-0.01,,,,,,,,,,,,,,,,,,,,
907100021,G18(OB9low),DEFAULT,,10,2,,,,,,,,,,,,,,,,,-0.06,,,,,
907100022,AK47(OB9low),DEFAULT,,6,,,-0.01,,,,,-1,,,,,,,,,,,,,,,
907100023,SCAR(OB9low),DEFAULT,,12,,5,,,,,,,,,,,0.3,,,,,,,,,,
907100024,FAMAS(OB9low),DEFAULT,,24,1,-2,,,,,,,,,,,,,,,,,,,,,
907100025,M1014(OB9low),DEFAULT,,5,,2,0.02,,,,,,,,,,,,,,,,,,,,
907100027,天際線主題M14,DEFAULT,,11,6,,,,,,,,,,,,0.1,,,,,,,,,,
907100030,TXT_OB9_ZXR_MACHETE_FISH_NAME,DEFAULT,,17,24,,,,,,,,,,,,,,,,,,,,,,
907100031,TXT_OB9_ZXR_BASEBALLBAT_MACE_NAME,DEFAULT,,27,15,,,,,0.5,,,,,,,,,,,,,,,,,
907100039,噴火M1014,DEFAULT,,5,1,1,0.02,,,,,,,,,,,,,,,,,,,,
907100040,白龍AK47,DEFAULT,,6,5,-2,-0.03,,,,,,,,,,,,,,,,,,,,
907100042,天際線主題M4A1,DEFAULT,,2,6,,,,,,,,,,,,0.2,,,,,,,,,,
907100043,天際線主題UMP,DEFAULT,,7,3,,,,,,,,,,,,0.2,,,,,,,,,,
907100044,天際線主題M1014,DEFAULT,,5,3,,,,,,,,,,,,0.1,,,,,,,,,,
907100045,大黄蜂主题MP5,DEFAULT,,8,1,,,,,,-1,-1,,,,,,,,,,,,,,,
907100046,大黄蜂主题SPAS12,DEFAULT,,29,1,,,,,,-1,-1,,,,,,,,,,,,,,,
907100047,大黄蜂主题SKS,DEFAULT,,18,3,,,,,,-2,-1,,,,,,,,,,,,,,,
907100011,粉色天堂M4A1,DEFAULT,,2,,,-0.02,,,,,,,,,,,,,,,-0.1,,,,,
907100054,粉色天堂MP5,DEFAULT,,8,,,-0.013,,,,,,,,,,,,,,,-0.1,,,,,
907100055,粉色天堂VSS,DEFAULT,,13,,,-0.035,,,,,,,,,,,,,,,-0.1,,,,,
907100056,粉色天堂M249,DEFAULT,,19,,,-0.015,,,,,,,,,,,,,,,-0.1,,,,,
907100029,钛金风暴UMP,DEFAULT,,7,,10,,,,-1.5,-1,-1,,,,,,,,,,,,,,,
907100057,钛金风暴MP40,DEFAULT,,15,,8,,,,-1.5,-1,-1,,,,,,,,,,,,,,,
907100058,钛金风暴M14,DEFAULT,,11,,6,,,,-3,-1.5,-1.5,,,,,,,,,,,,,,,
907100059,钛金风暴M79,DEFAULT,,23,,1,,,,-2,-1,-1,,,,,,,,,,,,,,,
907100062,法老之眼Groza,DEFAULT,,14,,,0.01,,,5,5,5,,,,,,,,,,,,,,,
907100026,法老之眼Kar98K,DEFAULT,,21,,,0.1,,,10,10,5,,,,,,,,,,,,,,,
907100061,法老之眼SPAS12,DEFAULT,,29,,,0.03,,,3,1,2,,,,,,,,,,,,,,,
907100060,法老之眼M1014,DEFAULT,,5,,,0.04,,,3,1.2,3,,,,,,,,,,,,,,,
907100063,黄色猎豹SCAR,DEFAULT,,12,4,-5,,,,,,,,,,,,,,,,,,,,,
907100028,黄色猎豹FAMAS,DEFAULT,,24,4,-5,,,,,,,,,,,,,,,,,,,,,
907100064,黄色猎豹SKS,DEFAULT,,18,6,-2,,,,,,,,,,,,,,,,,,,,,
907100065,黄色猎豹AWM,DEFAULT,,4,20,-1,,,,,,,,,,,,,,,,,,,,,
907100052,奔向月球FAMAS,DEFAULT,,24,4,,,,,3,1,1,,,,,,,,,,-0.1,,,,,
907100053,头号玩家SCAR,DEFAULT,,12,2,,,,,-1.5,-1,-1,,,-0.1,,-0.3,,,,,,,,,,
907100050,万圣节UMP,DEFAULT,,7,1,-5,,,,,,,,,,,,,,,,0.2,,,,,
907100048,奔向月球SKS,DEFAULT,,18,,-2,,,,,,,,,,,,,,,,0.3,,,,,
907100049,头号玩家MP40,DEFAULT,,15,3,,,,,-5,-3,-2,,,,,,,,,,,,,,,
907100051,万圣节SPAS12,DEFAULT,,29,,,,,,,,,,,-0.4,,-1,,,,,-0.1,,,,,
907100071,M4A1_星艦上將,DEFAULT,,2,4,-2,,,,,2,1,,,,,,,,,,,,,,,
907100072,VSS_星艦上將,DEFAULT,,13,4,-1,,,,,,,,,,,,,,,,,,,,,
907100073,M1014_聖誕,DEFAULT,,5,1,-1,,,,,,,,,-0.4,,-1,,,,,,,,,,
907100074,AK_聖誕,DEFAULT,,6,5,,,,,,,,,,-0.02,,,,,,,-0.1,,,,,
907100075,GROZA_聖誕,DEFAULT,,14,,,-0.015,,,,,,,,0.02,,,,,,,,,,,,
907100076,M14_聖誕,DEFAULT,,11,,,-0.05,,,,,,,,0.02,,,,,,,,,,,,
907100077,MP40新年,DEFAULT,,15,2,2,,,,,,,,,0.02,,,,,,,,,,,,
907100081,SCAR黑白骷髏,DEFAULT,,12,,,-0.012,,,,,,,,,,,,,,,,5,,,,
907100082,UMP黑白骷髏,DEFAULT,,7,,,-0.007,,,,,,,,,,,,,,,,5,,,,
907100083,M14黑白骷髏,DEFAULT,,11,,,-0.03,,,,,,,,,,,,,,,,5,,,,
907100084,M1014_黑白骷髏,DEFAULT,,5,,,-0.04,,,,,,,,,,,,,,,,5,,,,
907100085,MP40_聖誕,DEFAULT,,15,,,-0.008,,,,,,,,0.01,,,,,,,,,,,,
