indexid,itemid,comment,filter,price,stack,limitation,bonus,"BuyFilter "
序列号,itemtable表中的道具id,备注,类型,售价,购买一次获得多少个,每回合购买次数,武器击杀奖励,bot购买行为分类
1,10;202-90;513,G18+60子弹+弹夹,1,500,1,0,,0
2,25;202-90;503,M500+60子弹+枪口,1,500,1,0,,0
3,9;202-90;513,沙鹰+子弹+弹匣,1,900,1,0,,0
4,8;205-90;503;513;523;534,MP5+90发子弹+枪口+弹夹+握把+2倍镜,1,1000,1,0,,1
5,7;205-90;503;513;523;534,UMP+90发子弹+枪口+弹夹+握把+2倍镜,1,1100,1,0,,1
6,21;203-60;503,K98+60发子弹+枪口,1,1100,1,0,,1
7,37;201-90;503;513;523;534,AN94+发子弹+枪口+弹夹+握把+2倍镜,1,1200,1,0,"",1
8,24;201-120;503;513;523;534;543,Famas+90发子弹+枪口+弹夹+握把+枪托+2倍镜,1,1400,1,0,"",1
9,5;204-48;543,M1014+36发子弹+枪托,1,1400,1,0,"",1
10,32;205-120;513;534;543,P90+120子弹+弹匣+2倍镜+枪托,1,1500,1,0,,1
11,41;204-48;543,M1887+48发子弹+枪托,1,1600,1,0,,1
12,6;201-120;503;513;523;534;543,AK+120发子弹+枪口+弹夹+握把+枪托+2倍镜,1,2000,1,0,"",1
13,12;201-120;503;513;523;534,SCAR+120发子弹+枪口+弹夹+握把+2倍镜,1,2000,1,0,"",1
14,4;203-60;503;513,AWM+60发子弹+枪口+弹夹,1,2100,1,0,"",1
15,15;205-120;513;523;543,MP40+120发子弹+弹夹+握把+枪托,1,2100,1,0,"",1
17,302,2级甲,2,400,1,0,,2
18,305,2级头,2,200,1,0,,2
19,303,3级甲,2,1000,1,0,,2
20,106,护甲修理箱,2,200,2,0,,2
21,601,手雷,4,200,2,0,,4
22,1201,凝胶手雷,4,200,2,0,,4
23,709,蘑菇,4,200,1,2,,4
24,1401,地雷,4,100,2,0,,4
